trial,MAE_old,RMSE_old,MRE_old,MAE_opt,RMSE_opt,MRE_opt,impr_MAE_pct,impr_RMSE_pct,impr_MRE_pct
1,0.13939440444111822,0.15355873049674132,0.45001599658120794,0.04255875781178475,0.05510628578176923,0.10986170668671968,69.46881907985285,64.11386991534175,75.58715522956963
2,0.01592683613300324,0.018794181815496417,0.05721898157992003,0.044073163866996765,0.0587085090101937,0.11874241133882513,-176.72265537975932,-212.37597669541998,-107.5227626550774
3,0.12776247903704646,0.14808292116644992,0.5961368177166632,0.05397774025797844,0.05849120949742949,0.19617685798279028,57.751492718840886,60.501042904003405,67.09197416545044
1,0.08223752096295356,0.10186865200955143,0.2768736566810722,0.05432085677981378,0.061645710387807716,0.14010279246452564,33.94638342196167,39.485102460742745,49.398294462371865
2,0.07939440071582793,0.08158630635496623,0.27058868886338194,0.06723751723766326,0.07925575420795816,0.18602078970952768,15.312016172933934,2.856548177141057,31.2533016471503
3,0.04115650340914726,0.05083743029139006,0.11346247341491245,0.04352225974202156,0.05102687920324002,0.1153741295920759,-5.748195635810541,-0.3726563493873477,-1.6848356285659374
4,0.11647774025797845,0.14366694671111765,0.3348720675671977,0.07182085677981376,0.0855872952580879,0.17854024833762858,38.33941436267039,40.42659274259567,46.684042764400374
5,0.06755875781178473,0.07071890390348796,0.24426394821809266,0.05189438953995704,0.07339716578715791,0.16669501809425327,23.186288171899136,-3.7871937145507366,31.75619271259134
6,0.07776248648762703,0.08327017068652172,0.2589067386364722,0.06657316014170646,0.07174397825433335,0.1943790313026459,14.3891056615802,13.841922427950069,24.923147104401803
7,0.08223751351237296,0.0869422238161579,0.2783782166539336,0.05505875036120415,0.06718689674995275,0.15716835423017575,33.049106168256365,22.72236227560868,43.54143218540864
8,0.10592683240771293,0.12859590372705265,0.48998651488785605,0.04535790637135505,0.06833955918919707,0.12791263275985218,57.17996532045437,46.85712592003109,73.89466263375294
9,0.10060559928417206,0.13246101938367114,0.25583567949703045,0.02535790264606476,0.03707393676317443,0.09501475453042602,74.79474022595264,72.0114363180986,62.86102285738551
10,0.08223752096295357,0.0941793105462918,0.2297492061214744,0.05244124218821527,0.06667214810729652,0.1588251467434661,36.23197589795859,29.20722426098316,30.87020868320224
